;;;;;;;;;;;
Proposal number;Erasmus Code;Pic;OID;Legal Name;Street;Post Cd;City;Country Cd;Website Url;Erasmus Eche Start;Erasmus Eche End
101012542;B  ANTWERP63;999883276;E10209001;INSTITUUT VOOR TROPISCHE GENEESKUNDE;NATIONALESTRAAT 155;2000;ANTWERPEN;BE;www.itg.be;1/1/2021;12/31/2029
101012309;B  ARLON09;949165080;E10075780;Haute Ecole Robert Schuman;Rue Fontaine aux Mûres 13b;6800;LIBRAMONT;BE;www.hers.be;1/1/2021;12/31/2029
101013693;B  BRUGGE12;996855615;E10191338;EUROPA COLLEGE STICHTING VAN OPENBAAR NUT;DIJVER 11;8000;BRUGGE;BE;www.coleurope.eu;1/1/2021;12/31/2029
101013632;B  BRUSSEL01;999902094;E10209148;VRIJE UNIVERSITEIT BRUSSEL;PLEINLAAN 2;1050;BRUSSEL;BE;www.vub.be;1/1/2021;12/31/2029
101014899;B  BRUSSEL43;986197546;E10174769;LUCA SCHOOL OF ARTS;PALEIZENSTRAAT 70;1030;BRUSSEL;BE;www.luca-arts.be;1/1/2021;12/31/2029
101014341;B  BRUSSEL46;992082051;E10211784;ERASMUSHOGESCHOOL BRUSSEL;NIJVERHEIDSKAAI 170;1070;BRUSSEL;BE;http://www.ehb.be;1/1/2021;12/31/2029
101013951;B  BRUSSEL47;934505276;E10162505;VESALIUS COLLEGE;PLEINLAAN 2;1050;BRUSSELS;BE;http://www.vesalius.edu;1/1/2021;12/31/2029
101012119;B  BRUSSEL48;997590002;E10195206;ODISEE;WARMOESBERG 26;1000;BRUSSELS;BE;www.odisee.be;1/1/2021;12/31/2029
101048950;B  BRUSSEL50;949206305;E10269169;PERFORMING ARTS RESEARCH AND TRAINING STUDIOS ASBL PARTS;VAN VOLXEMLAAN 164;1190;BRUSSEL;BE;www.parts.be;11/1/2021;12/31/2029
101098721;B  BRUSSEL51;893329552;#N/A;Faculty for Protestant Theology and Religious Studies (FPTR);Bollandistenstraat 40;1040;Etterbeek;BE;www.fptr.be;10/26/2022;12/31/2029
101012995;B  BRUSSELS49;999698006;E10208340;VON KARMAN INSTITUTE FOR FLUID DYNAMICS;Waterloose Steenweg, 72;1640;Sint-Genesius-Rode;BE;www.vki.ac.be;1/1/2021;12/31/2029
101013893;B  BRUXEL01;999831575;E10208570;ECOLE ROYALE MILITAIRE - KONINKLIJKE MILITAIRE SCHOOL;Avenue de la Renaissance 30;1000;BRUXELLES;BE;www.rma.ac.be;1/1/2021;12/31/2029
101006721;B  BRUXEL02;969084418;E10162465;UNIVERSITE SAINT-LOUIS-BRUXELLES ASBL;BOULEVARD DU JARDIN BOTANIQUE 43;1000;BRUXELLES;BE;;1/1/2021;12/31/2029
101008529;B  BRUXEL04;999986290;E10209446;UNIVERSITE LIBRE DE BRUXELLES;AVENUE FRANKLIN ROOSEVELT 50;1050;BRUXELLES;BE;www.ulb.be;1/1/2021;12/31/2029
101013784;B  BRUXEL05;948707628;E10046893;ACADEMIE ROYALE DES BEAUX-ARTS DE BRUXELLES ECOLE SUPERIEURE DES ARTS;RUE DU MIDI 144;1000;BRUXELLES;BE;www.arba-esa.be;1/1/2021;12/31/2029
101005223;B  BRUXEL07;944268132;E10169556;Conservatoire royal de Bruxelles;Rue de la Régence 30;1000;Bruxelles;BE;www.conservatoire.be;1/1/2021;12/31/2029
101014408;B  BRUXEL100;915868957;E10234567;IEPSCF-UCCLE;Gatti de gamong;1180;Bruxelles;BE;www.iepscf-uccle.be;1/1/2021;12/31/2029
101013842;B  BRUXEL15;946114915;E10085618;Ecole nationale supérieure des arts visuels de La Cambre;Abbaye de La Cambre 21;1000;Bruxelles;BE;www.lacambre.be;1/1/2021;12/31/2029
101015026;B  BRUXEL28;949406610;E10090929;Ecole supérieure des Arts de l'image LE 75;avenue Jean-François Debecker, 10;1200;Woluwe-Saint-Lambert;BE;www.le75.be;1/1/2021;12/31/2029
101013019;B  BRUXEL82;947573019;E10183091;ECOLE PRATIQUE DES HAUTES ETUDES COMMERCIALES;AVENUE KONRAD ADENAUER 3;1200;BRUXELLES;BE;www.ephec.be;1/1/2021;12/31/2029
101011590;B  BRUXEL83;946064766;E10082340;Haute Ecole Francisco Ferrer;rue de la Fontaine, 4;1000;Brussels;BE;www.he-ferrer.eu;1/1/2021;12/31/2029
101011381;B  BRUXEL84;948952262;E10062489;HAUTE ECOLE GALILEE;RUE ROYALE 336;1030;BRUXELLES;BE;www.galilee.be;1/1/2021;12/31/2029
101012785;B  BRUXEL85;948907448;E10059540;Haute Ecole Libre de Bruxelles - Ilya Prigogine;Avenue Besme, 97;1190;Brussels;BE;http://www.helb-prigogine.be;1/1/2021;12/31/2029
101013926;B  BRUXEL86;949313781;E10085420;HAUTE ECOLE ICHEC - ECAM - ISFSC;BOULEVARD BRAND WHITLOCK 6;1150;BRUXELLES;BE;http://www.he-ichec-isfsc.be;1/1/2021;12/31/2029
101013481;B  BRUXEL87;948843331;E10055426;Haute Ecole Léonard de Vinci;Place de l'Alma 2;1200;Bruxelles;BE;http://www.vinci.be;1/1/2021;12/31/2029
101005019;B  BRUXEL88;947988761;E10206702;Haute Ecole Lucia de Brouckère;Avenue Emile Gryzon, 1;1070;Bruxelles;BE;www.heldb.be;1/1/2021;12/31/2029
101011656;B  BRUXEL90;943803793;E10137926;ECOLE SUPERIEURE DES ARTS SAINT-LUC DE BRUXELLES;PLACE MORICHAR 30;1060;BRUXELLES;BE;www.stluc-bruxelles-esa.be;1/1/2021;12/31/2029
101011607;B  BRUXEL91;948271322;E10017751;Ecole de Recherche Graphique - Ecole Supérieure des arts;Rue d'Irlande 57;1060;Saint-Gilles;BE;www.erg.be;1/1/2021;12/31/2029
101012842;B  BRUXEL94;938879976;E10065546;Institut supérieur de Promotion sociale Libre de Bruxelles - Ilya Prigogine;Avenue Besme 97;1190;Bruxelles;BE;https://www.institut-prigogine.be/;1/1/2021;12/31/2029
101011349;B  BRUXEL95;929147578;E10129559;Institut Supérieur de Formation Continue d'Etterbeek;rue Joseph Buedts 14;1040;Etterbeek;BE;www.isfce.org;1/1/2021;12/31/2029
101011486;B  BRUXEL96;939012963;E10068116;Institut National Supérieur des Arts du Spectacle et des Techniques de Diffusion (INSAS);Rue Thérésienne 8;1000;BRUSSELS;BE;www.insas.be;1/1/2021;12/31/2029
101013274;B  BRUXEL97;919866909;E10081894;Centre de formation pour les secteurs infirmier et de santé de l'ACN - ASBL;Avenue Hippocrate 91;1200;BRUSSELS;BE;www.cpsi.be;1/1/2021;12/31/2029
101011939;B  BRUXEL98;916334266;E10197122;Haute Ecole Bruxelles-Brabant (HE2B);rue de l'abbaye 26;1050;Bruxelles;BE;;1/1/2021;12/31/2029
101013466;B  BRUXEL99;906863380;E10061783;Ecole supérieure des arts du cirque;Avenue Emile Gryzon, 1 Bât. 8B;1070;Bruxelles;BE;http://www.esac.be/;1/1/2021;12/31/2029
101013294;B  DIEPENB01;999874934;E10208924;UNIVERSITEIT HASSELT;MARTELARENLAAN 42;3500;HASSELT;BE;www.uhasselt.be;1/1/2021;12/31/2029
101013276;B  DIEPENB07;949555117;E10100962;Transnationale Universiteit Limburg;Minderbroedersberg 4B;6211 LK;Maastricht;NL;www.tul.edu;1/1/2021;12/31/2029
101014862;B  EUPEN04;906267315;E10100474;Autonome Hochschule Ostbelgien;Monschauer Straße 57;4700;Eupen;BE;www.ahs-ostbelgien.be;1/1/2021;12/31/2029
